https://news.uchicago.edu/story/new-coronavirus-protein-mapped-chicago-reveals-drug-target , New coronavirus protein, mapped in Chicago, reveals drug target , 2020-03-02
https://medicine.uchicago.edu/covid-19-what-we-know-so-far-about-the-2019-novel-coronavirus/ , COVID-19 Resource  Center – University of Chicago – Department of Medicine , 2020-03-12
https://news.uchicago.edu/story/infectious-disease-specialist-what-we-know-about-novel-coronavirus , UChicago infectious disease specialist: What we know about novel coronavirus , 2020-03-16
https://biologicalsciences.uchicago.edu/coronavirus , BSD- Specific Guidance on Coronavirus (COVID-19) , 2020-04-02
https://bfi.uchicago.edu/insight/blog/key-economic-facts-about-covid-19/ , Key Economic Facts About COVID-19 , 2020-03-31
https://pritzker.uchicago.edu/ , Innovation in Medical Education , 2020-03-01
https://wellness.uchicago.edu/student-insurance/u-ship/ , Updates on Coronavirus and Student Health and Wellness Resources , 2020-01-01
https://guides.lib.uchicago.edu/covid19 , COVID-19 , 2020-03-13
https://lib.uchicago.edu/about/news/coronavirus-resources/ , Coronavirus Resources , 2020-03-06
https://arts.uchicago.edu/logan-center/covid-19-update , UChicago Arts , 2020-03-18
